buffer_size,episodes_run,raw_max_gap,episode_at_raw_max_gap,smoothed_max_gap,episode_at_smoothed_max_gap,final_p0,final_p1,final_gap,final_mean_reward
2,11412,0.9977496924271512,8377,0.99750731663271,8412,0.0005421738287184945,0.997640892463911,0.9970987186351925,0.5958333333333333
4,4066,0.9332683810434427,1061,0.9072029054471463,1066,0.978219020483477,0.2197501270211947,-0.7584688934622823,0.9583333333333334
6,12905,0.9977889095910912,9911,0.9973682563972899,9905,0.0009007836770175739,0.9967922116451208,0.9958914279681031,0.39166666666666666
8,4252,0.808216682929523,1235,0.7022813717657351,1252,0.9708546877067666,0.40566431020651306,-0.5651903775002536,0.37083333333333335
10,4987,0.9883327648907997,2475,0.9861626531324328,1987,0.028875182954074013,0.9972886593265555,0.9684134763724815,0.49583333333333335
12,6221,0.9891017205103927,3125,0.9840844129226941,3221,0.006390678854009791,0.9122624667741224,0.9058717879201126,0.42083333333333334
14,3603,0.17632454399322345,1,-0.004345243363642796,603,0.997683792521832,0.657509371098861,-0.34017442142297105,0.4708333333333333
16,3234,0.3792543849372684,195,-0.004379561782831542,234,0.9972984124637125,0.019497029834273826,-0.9778013826294387,0.5458333333333333
18,13889,0.9951086076547918,10966,0.9940335237454082,10889,0.005969508166843355,0.9994998390782058,0.9935303309113624,0.5208333333333334
20,9314,0.993575879264975,6014,0.9930354368656614,6314,0.0035788425501180913,0.993239111118791,0.989660268568673,0.5875
